Data as of,Start Date,End Date,State,County Name,Urban Rural Code,FIPS State,FIPS County,FIPS Code,Indicator,Total deaths,COVID-19 Deaths,Non-Hispanic White,Non-Hispanic Black,Non-Hispanic American Indian or Alaska Native,Non-Hispanic Asian,Non-Hispanic Native Hawaiian or Other Pacific Islander,Hispanic,Other,Urban Rural Description,Footnote
11/09/2022,01/01/2020,11/05/2022,NY,Bronx County,1,36,5,36005,Distribution of population (%),39315,6915,0.089,0.291,0.003,0.042,0.001,0.564,0.01,Large central metro,
11/09/2022,01/01/2020,11/05/2022,NY,Broome County,4,36,7,36007,Distribution of all-cause deaths (%),7648,853,0.935,0.035,,0.009,,0.013,0.007,Small metro,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/09/2022,01/01/2020,11/05/2022,NY,Broome County,4,36,7,36007,Distribution of COVID-19 deaths (%),7648,853,0.933,0.039,,0.013,,,,Small metro,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/09/2022,01/01/2020,11/05/2022,NY,Broome County,4,36,7,36007,Distribution of population (%),7648,853,0.823,0.057,0.002,0.044,0,0.047,0.027,Small metro,
11/09/2022,01/01/2020,11/05/2022,NY,Cattaraugus County,5,36,9,36009,Distribution of all-cause deaths (%),2537,271,0.949,0.012,0.028,,,0.006,0.004,Micropolitan,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/09/2022,01/01/2020,11/05/2022,NY,Cattaraugus County,5,36,9,36009,Distribution of COVID-19 deaths (%),2537,271,0.937,,,,,,,Micropolitan,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/09/2022,01/01/2020,11/05/2022,NY,Cattaraugus County,5,36,9,36009,Distribution of population (%),2537,271,0.901,0.013,0.033,0.008,0,0.023,0.021,Micropolitan,
11/09/2022,01/01/2020,11/05/2022,NY,Cayuga County,5,36,11,36011,Distribution of all-cause deaths (%),2176,152,0.969,0.023,,,,,,Micropolitan,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/09/2022,01/01/2020,11/05/2022,NY,Cayuga County,5,36,11,36011,Distribution of COVID-19 deaths (%),2176,152,0.974,,,,,,,Micropolitan,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/09/2022,01/01/2020,11/05/2022,NY,Cayuga County,5,36,11,36011,Distribution of population (%),2176,152,0.896,0.04,0.004,0.007,0,0.032,0.021,Micropolitan,
11/09/2022,01/01/2020,11/05/2022,NY,Chautauqua County,5,36,13,36013,Distribution of all-cause deaths (%),3932,379,0.938,0.018,0.007,,,0.033,,Micropolitan,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/09/2022,01/01/2020,11/05/2022,NY,Chautauqua County,5,36,13,36013,Distribution of COVID-19 deaths (%),3932,379,0.945,,,,,0.032,,Micropolitan,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/09/2022,01/01/2020,11/05/2022,NY,Chautauqua County,5,36,13,36013,Distribution of population (%),3932,379,0.867,0.021,0.005,0.006,0,0.08,0.02,Micropolitan,
11/09/2022,01/01/2020,11/05/2022,NY,Chemung County,4,36,15,36015,Distribution of all-cause deaths (%),2977,351,0.936,0.046,,0.006,,0.007,,Small metro,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/09/2022,01/01/2020,11/05/2022,NY,Chemung County,4,36,15,36015,Distribution of COVID-19 deaths (%),2977,351,0.946,0.046,,,,,,Small metro,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/09/2022,01/01/2020,11/05/2022,NY,Chemung County,4,36,15,36015,Distribution of population (%),2977,351,0.858,0.059,0.003,0.014,0,0.035,0.032,Small metro,
11/09/2022,01/01/2020,11/05/2022,NY,Chenango County,6,36,17,36017,Distribution of all-cause deaths (%),1488,126,0.966,,,,,0.007,0.023,Noncore,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/09/2022,01/01/2020,11/05/2022,NY,Chenango County,6,36,17,36017,Distribution of COVID-19 deaths (%),1488,126,0.976,,,,,,,Noncore,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/09/2022,01/01/2020,11/05/2022,NY,Chenango County,6,36,17,36017,Distribution of population (%),1488,126,0.945,0.008,0.003,0.006,0,0.024,0.014,Noncore,
11/09/2022,01/01/2020,11/05/2022,NY,Clinton County,5,36,19,36019,Distribution of all-cause deaths (%),2517,150,0.967,0.01,0.009,,,0.008,,Micropolitan,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/09/2022,01/01/2020,11/05/2022,NY,Clinton County,5,36,19,36019,Distribution of COVID-19 deaths (%),2517,150,0.96,,,,,,,Micropolitan,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/09/2022,01/01/2020,11/05/2022,NY,Clinton County,5,36,19,36019,Distribution of population (%),2517,150,0.9,0.038,0.004,0.014,0,0.03,0.014,Micropolitan,
11/09/2022,01/01/2020,11/05/2022,NY,Columbia County,5,36,21,36021,Distribution of all-cause deaths (%),1947,211,0.921,0.047,,0.008,,0.02,,Micropolitan,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/09/2022,01/01/2020,11/05/2022,NY,Columbia County,5,36,21,36021,Distribution of COVID-19 deaths (%),1947,211,0.891,0.052,,,,,,Micropolitan,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/09/2022,01/01/2020,11/05/2022,NY,Columbia County,5,36,21,36021,Distribution of population (%),1947,211,0.858,0.046,0.002,0.021,0,0.053,0.02,Micropolitan,
11/09/2022,01/01/2020,11/05/2022,NY,Cortland County,5,36,23,36023,Distribution of all-cause deaths (%),1264,128,0.972,0.011,,,,0.009,,Micropolitan,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/09/2022,01/01/2020,11/05/2022,NY,Cortland County,5,36,23,36023,Distribution of COVID-19 deaths (%),1264,128,0.984,,,,,,,Micropolitan,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/09/2022,01/01/2020,11/05/2022,NY,Cortland County,5,36,23,36023,Distribution of population (%),1264,128,0.921,0.018,0.003,0.011,0,0.029,0.018,Micropolitan,
11/09/2022,01/01/2020,11/05/2022,NY,Dutchess County,2,36,27,36027,Distribution of all-cause deaths (%),8703,948,0.846,0.089,,0.012,,0.049,0.003,Large fringe metro,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/09/2022,01/01/2020,11/05/2022,NY,Dutchess County,2,36,27,36027,Distribution of COVID-19 deaths (%),8703,948,0.79,0.12,,0.013,,0.074,,Large fringe metro,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/09/2022,01/01/2020,11/05/2022,NY,Dutchess County,2,36,27,36027,Distribution of population (%),8703,948,0.7,0.106,0.002,0.036,0,0.134,0.022,Large fringe metro,
11/09/2022,01/01/2020,11/05/2022,NY,Erie County,1,36,29,36029,Distribution of all-cause deaths (%),33553,3890,0.821,0.132,0.007,0.011,,0.026,0.003,Large central metro,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/09/2022,01/01/2020,11/05/2022,NY,Erie County,1,36,29,36029,Distribution of COVID-19 deaths (%),33553,3890,0.807,0.141,0.007,0.013,,0.03,,Large central metro,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/09/2022,01/01/2020,11/05/2022,NY,Erie County,1,36,29,36029,Distribution of population (%),33553,3890,0.745,0.131,0.006,0.04,0,0.06,0.019,Large central metro,
11/09/2022,01/01/2020,11/05/2022,NY,Fulton County,5,36,35,36035,Distribution of all-cause deaths (%),1691,180,0.961,0.02,,,,0.012,,Micropolitan,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/09/2022,01/01/2020,11/05/2022,NY,Fulton County,5,36,35,36035,Distribution of COVID-19 deaths (%),1691,180,0.961,,,,,,,Micropolitan,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/09/2022,01/01/2020,11/05/2022,NY,Fulton County,5,36,35,36035,Distribution of population (%),1691,180,0.919,0.019,0.002,0.007,0,0.037,0.015,Micropolitan,
11/09/2022,01/01/2020,11/05/2022,NY,Genesee County,5,36,37,36037,Distribution of all-cause deaths (%),1776,225,0.948,0.028,0.014,,,0.007,,Micropolitan,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/09/2022,01/01/2020,11/05/2022,NY,Genesee County,5,36,37,36037,Distribution of COVID-19 deaths (%),1776,225,0.947,,,,,,,Micropolitan,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/09/2022,01/01/2020,11/05/2022,NY,Genesee County,5,36,37,36037,Distribution of population (%),1776,225,0.902,0.028,0.011,0.006,0,0.035,0.018,Micropolitan,
11/09/2022,01/01/2020,11/05/2022,NY,Herkimer County,3,36,43,36043,Distribution of all-cause deaths (%),1320,102,0.978,0.014,,,,,,Medium metro,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/09/2022,01/01/2020,11/05/2022,NY,Herkimer County,3,36,43,36043,Distribution of COVID-19 deaths (%),1320,102,0.99,,,,,,,Medium metro,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/09/2022,01/01/2020,11/05/2022,NY,Herkimer County,3,36,43,36043,Distribution of population (%),1320,102,0.939,0.013,0.003,0.006,0,0.025,0.014,Medium metro,
11/09/2022,01/01/2020,11/05/2022,NY,Jefferson County,4,36,45,36045,Distribution of all-cause deaths (%),2708,179,0.97,0.012,,0.004,,0.009,,Small metro,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/09/2022,01/01/2020,11/05/2022,NY,Jefferson County,4,36,45,36045,Distribution of COVID-19 deaths (%),2708,179,0.972,,,,,,,Small metro,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/09/2022,01/01/2020,11/05/2022,NY,Jefferson County,4,36,45,36045,Distribution of population (%),2708,179,0.814,0.057,0.005,0.016,0.002,0.078,0.028,Small metro,
11/09/2022,01/01/2020,11/05/2022,NY,Kings County,1,36,47,36047,Distribution of all-cause deaths (%),53113,10761,0.365,0.369,0,0.084,,0.155,0.028,Large central metro,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/09/2022,01/01/2020,11/05/2022,NY,Kings County,1,36,47,36047,Distribution of COVID-19 deaths (%),53113,10761,0.339,0.368,,0.086,,0.181,0.025,Large central metro,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/09/2022,01/01/2020,11/05/2022,NY,Kings County,1,36,47,36047,Distribution of population (%),53113,10761,0.369,0.294,0.002,0.127,0,0.188,0.02,Large central metro,
11/09/2022,01/01/2020,11/05/2022,NY,Livingston County,2,36,51,36051,Distribution of all-cause deaths (%),1255,117,0.975,0.012,,,,0.008,,Large fringe metro,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/09/2022,01/01/2020,11/05/2022,NY,Livingston County,2,36,51,36051,Distribution of COVID-19 deaths (%),1255,117,0.991,,,,,,,Large fringe metro,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/09/2022,01/01/2020,11/05/2022,NY,Livingston County,2,36,51,36051,Distribution of population (%),1255,117,0.903,0.025,0.003,0.013,0,0.041,0.015,Large fringe metro,
11/09/2022,01/01/2020,11/05/2022,NY,Madison County,3,36,53,36053,Distribution of all-cause deaths (%),1745,168,0.975,0.009,0.006,,,,,Medium metro,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/09/2022,01/01/2020,11/05/2022,NY,Madison County,3,36,53,36053,Distribution of COVID-19 deaths (%),1745,168,0.97,,,,,,,Medium metro,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/09/2022,01/01/2020,11/05/2022,NY,Madison County,3,36,53,36053,Distribution of population (%),1745,168,0.928,0.017,0.006,0.009,0,0.025,0.015,Medium metro,
11/09/2022,01/01/2020,11/05/2022,NY,Monroe County,1,36,55,36055,Distribution of all-cause deaths (%),25535,2524,0.808,0.132,0.002,0.012,,0.041,0.004,Large central metro,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/09/2022,01/01/2020,11/05/2022,NY,Monroe County,1,36,55,36055,Distribution of COVID-19 deaths (%),25535,2524,0.772,0.145,,0.015,,0.06,0.004,Large central metro,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/09/2022,01/01/2020,11/05/2022,NY,Monroe County,1,36,55,36055,Distribution of population (%),25535,2524,0.697,0.146,0.002,0.037,0,0.095,0.023,Large central metro,
11/09/2022,01/01/2020,11/05/2022,NY,Montgomery County,5,36,57,36057,Distribution of all-cause deaths (%),1905,229,0.938,0.016,,,,0.037,,Micropolitan,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/09/2022,01/01/2020,11/05/2022,NY,Montgomery County,5,36,57,36057,Distribution of COVID-19 deaths (%),1905,229,0.934,,,,,,,Micropolitan,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/09/2022,01/01/2020,11/05/2022,NY,Montgomery County,5,36,57,36057,Distribution of population (%),1905,229,0.796,0.023,0.003,0.009,0.001,0.154,0.015,Micropolitan,
11/09/2022,01/01/2020,11/05/2022,NY,Nassau County,2,36,59,36059,Distribution of all-cause deaths (%),38848,6351,0.707,0.144,0,0.055,,0.087,0.007,Large fringe metro,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/09/2022,01/01/2020,11/05/2022,NY,Nassau County,2,36,59,36059,Distribution of COVID-19 deaths (%),38848,6351,0.587,0.187,,0.069,,0.148,0.008,Large fringe metro,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/09/2022,01/01/2020,11/05/2022,NY,Nassau County,2,36,59,36059,Distribution of population (%),38848,6351,0.577,0.117,0.001,0.114,0,0.175,0.015,Large fringe metro,
11/09/2022,01/01/2020,11/05/2022,NY,New York County,1,36,61,36061,Distribution of all-cause deaths (%),46056,7292,0.404,0.213,0,0.091,0,0.253,0.038,Large central metro,
11/09/2022,01/01/2020,11/05/2022,NY,New York County,1,36,61,36061,Distribution of COVID-19 deaths (%),46056,7292,0.313,0.203,,0.102,,0.344,0.037,Large central metro,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/09/2022,01/01/2020,11/05/2022,NY,New York County,1,36,61,36061,Distribution of population (%),46056,7292,0.47,0.124,0.001,0.127,0,0.256,0.021,Large central metro,
11/09/2022,01/01/2020,11/05/2022,NY,Niagara County,2,36,63,36063,Distribution of all-cause deaths (%),6552,582,0.89,0.076,0.013,0.006,,0.012,0.004,Large fringe metro,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/09/2022,01/01/2020,11/05/2022,NY,Niagara County,2,36,63,36063,Distribution of COVID-19 deaths (%),6552,582,0.837,0.129,,,,,,Large fringe metro,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/09/2022,01/01/2020,11/05/2022,NY,Niagara County,2,36,63,36063,Distribution of population (%),6552,582,0.847,0.071,0.01,0.012,0,0.035,0.026,Large fringe metro,
11/09/2022,01/01/2020,11/05/2022,NY,Oneida County,3,36,65,36065,Distribution of all-cause deaths (%),8579,1022,0.917,0.043,0.002,0.014,,0.019,0.005,Medium metro,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/09/2022,01/01/2020,11/05/2022,NY,Oneida County,3,36,65,36065,Distribution of COVID-19 deaths (%),8579,1022,0.895,0.045,,0.023,,0.031,,Medium metro,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/09/2022,01/01/2020,11/05/2022,NY,Oneida County,3,36,65,36065,Distribution of population (%),8579,1022,0.811,0.062,0.002,0.041,0,0.064,0.02,Medium metro,
11/09/2022,01/01/2020,11/05/2022,NY,Onondaga County,3,36,67,36067,Distribution of all-cause deaths (%),17166,1724,0.873,0.086,0.008,0.01,,0.019,0.004,Medium metro,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/09/2022,01/01/2020,11/05/2022,NY,Onondaga County,3,36,67,36067,Distribution of COVID-19 deaths (%),17166,1724,0.852,0.093,0.009,0.017,,0.027,,Medium metro,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/09/2022,01/01/2020,11/05/2022,NY,Onondaga County,3,36,67,36067,Distribution of population (%),17166,1724,0.762,0.11,0.007,0.038,0,0.054,0.029,Medium metro,
11/09/2022,01/01/2020,11/05/2022,NY,Ontario County,2,36,69,36069,Distribution of all-cause deaths (%),3414,313,0.96,0.021,,0.003,,0.014,,Large fringe metro,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/09/2022,01/01/2020,11/05/2022,NY,Ontario County,2,36,69,36069,Distribution of COVID-19 deaths (%),3414,313,0.958,,,,,,,Large fringe metro,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/09/2022,01/01/2020,11/05/2022,NY,Ontario County,2,36,69,36069,Distribution of population (%),3414,313,0.893,0.023,0.002,0.014,0,0.052,0.016,Large fringe metro,
11/09/2022,01/01/2020,11/05/2022,NY,Orange County,2,36,71,36071,Distribution of all-cause deaths (%),9029,1334,0.778,0.094,0.002,0.014,,0.103,0.007,Large fringe metro,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/09/2022,01/01/2020,11/05/2022,NY,Orange County,2,36,71,36071,Distribution of COVID-19 deaths (%),9029,1334,0.66,0.139,,0.023,,0.166,0.009,Large fringe metro,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/09/2022,01/01/2020,11/05/2022,NY,Orange County,2,36,71,36071,Distribution of population (%),9029,1334,0.618,0.108,0.002,0.029,0,0.222,0.021,Large fringe metro,
11/09/2022,01/01/2020,11/05/2022,NY,Oswego County,3,36,75,36075,Distribution of all-cause deaths (%),2324,169,0.983,,,,,0.007,,Medium metro,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/09/2022,01/01/2020,11/05/2022,NY,Oswego County,3,36,75,36075,Distribution of COVID-19 deaths (%),2324,169,0.982,,,,,,,Medium metro,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/09/2022,01/01/2020,11/05/2022,NY,Oswego County,3,36,75,36075,Distribution of population (%),2324,169,0.936,0.01,0.004,0.007,0,0.028,0.015,Medium metro,
11/09/2022,01/01/2020,11/05/2022,NY,Otsego County,5,36,77,36077,Distribution of all-cause deaths (%),2517,231,0.963,0.012,,,,0.017,0.004,Micropolitan,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/09/2022,01/01/2020,11/05/2022,NY,Otsego County,5,36,77,36077,Distribution of COVID-19 deaths (%),2517,231,0.952,,,,,,,Micropolitan,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/09/2022,01/01/2020,11/05/2022,NY,Otsego County,5,36,77,36077,Distribution of population (%),2517,231,0.909,0.022,0.002,0.014,0.001,0.04,0.013,Micropolitan,
11/09/2022,01/01/2020,11/05/2022,NY,Putnam County,2,36,79,36079,Distribution of all-cause deaths (%),1535,130,0.898,0.027,,0.01,,0.059,,Large fringe metro,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/09/2022,01/01/2020,11/05/2022,NY,Putnam County,2,36,79,36079,Distribution of COVID-19 deaths (%),1535,130,0.838,,,,,0.092,,Large fringe metro,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/09/2022,01/01/2020,11/05/2022,NY,Putnam County,2,36,79,36079,Distribution of population (%),1535,130,0.76,0.031,0.001,0.022,0,0.171,0.014,Large fringe metro,
11/09/2022,01/01/2020,11/05/2022,NY,Queens County,1,36,81,36081,Distribution of all-cause deaths (%),44852,9197,0.377,0.223,0,0.187,,0.184,0.029,Large central metro,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/09/2022,01/01/2020,11/05/2022,NY,Queens County,1,36,81,36081,Distribution of COVID-19 deaths (%),44852,9197,0.288,0.206,,0.213,,0.259,0.033,Large central metro,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/09/2022,01/01/2020,11/05/2022,NY,Queens County,1,36,81,36081,Distribution of population (%),44852,9197,0.246,0.179,0.004,0.27,0.001,0.279,0.021,Large central metro,
11/09/2022,01/01/2020,11/05/2022,NY,Rensselaer County,3,36,83,36083,Distribution of all-cause deaths (%),4530,312,0.911,0.06,,0.006,,0.016,0.006,Medium metro,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/09/2022,01/01/2020,11/05/2022,NY,Rensselaer County,3,36,83,36083,Distribution of COVID-19 deaths (%),4530,312,0.865,0.096,,,,,,Medium metro,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/09/2022,01/01/2020,11/05/2022,NY,Rensselaer County,3,36,83,36083,Distribution of population (%),4530,312,0.822,0.072,0.002,0.028,0,0.054,0.022,Medium metro,
11/09/2022,01/01/2020,11/05/2022,NY,Richmond County,1,36,85,36085,Distribution of all-cause deaths (%),12231,2222,0.719,0.093,,0.053,,0.096,0.038,Large central metro,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/09/2022,01/01/2020,11/05/2022,NY,Richmond County,1,36,85,36085,Distribution of COVID-19 deaths (%),12231,2222,0.678,0.104,,0.06,,0.127,0.031,Large central metro,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/09/2022,01/01/2020,11/05/2022,NY,Richmond County,1,36,85,36085,Distribution of population (%),12231,2222,0.586,0.094,0.001,0.115,0,0.187,0.016,Large central metro,
11/09/2022,01/01/2020,11/05/2022,NY,Rockland County,2,36,87,36087,Distribution of all-cause deaths (%),7161,1287,0.727,0.127,,0.039,,0.103,0.003,Large fringe metro,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/09/2022,01/01/2020,11/05/2022,NY,Rockland County,2,36,87,36087,Distribution of COVID-19 deaths (%),7161,1287,0.622,0.167,,0.048,,0.159,,Large fringe metro,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/09/2022,01/01/2020,11/05/2022,NY,Rockland County,2,36,87,36087,Distribution of population (%),7161,1287,0.626,0.111,0.001,0.061,0,0.185,0.014,Large fringe metro,
11/09/2022,01/01/2020,11/05/2022,NY,St. Lawrence County,5,36,89,36089,Distribution of all-cause deaths (%),3001,266,0.967,0.008,0.011,,,0.005,0.006,Micropolitan,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/09/2022,01/01/2020,11/05/2022,NY,St. Lawrence County,5,36,89,36089,Distribution of COVID-19 deaths (%),3001,266,0.955,,,,,,,Micropolitan,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/09/2022,01/01/2020,11/05/2022,NY,St. Lawrence County,5,36,89,36089,Distribution of population (%),3001,266,0.919,0.022,0.009,0.011,0,0.024,0.013,Micropolitan,
11/09/2022,01/01/2020,11/05/2022,NY,Saratoga County,3,36,91,36091,Distribution of all-cause deaths (%),4675,320,0.97,0.012,,0.008,,0.008,,Medium metro,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/09/2022,01/01/2020,11/05/2022,NY,Saratoga County,3,36,91,36091,Distribution of COVID-19 deaths (%),4675,320,0.978,,,,,,,Medium metro,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/09/2022,01/01/2020,11/05/2022,NY,Saratoga County,3,36,91,36091,Distribution of population (%),4675,320,0.899,0.018,0.002,0.028,0,0.034,0.018,Medium metro,
11/09/2022,01/01/2020,11/05/2022,NY,Schenectady County,3,36,93,36093,Distribution of all-cause deaths (%),4906,381,0.865,0.078,,0.018,,0.031,0.006,Medium metro,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/09/2022,01/01/2020,11/05/2022,NY,Schenectady County,3,36,93,36093,Distribution of COVID-19 deaths (%),4906,381,0.829,0.092,,,,0.042,,Medium metro,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/09/2022,01/01/2020,11/05/2022,NY,Schenectady County,3,36,93,36093,Distribution of population (%),4906,381,0.718,0.114,0.005,0.051,0.002,0.077,0.034,Medium metro,
11/09/2022,01/01/2020,11/05/2022,NY,Steuben County,5,36,101,36101,Distribution of all-cause deaths (%),3035,275,0.972,0.016,,0.004,,0.004,,Micropolitan,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/09/2022,01/01/2020,11/05/2022,NY,Steuben County,5,36,101,36101,Distribution of COVID-19 deaths (%),3035,275,0.975,,,,,,,Micropolitan,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/09/2022,01/01/2020,11/05/2022,NY,Steuben County,5,36,101,36101,Distribution of population (%),3035,275,0.932,0.016,0.002,0.016,0,0.018,0.016,Micropolitan,
11/09/2022,01/01/2020,11/05/2022,NY,Suffolk County,2,36,103,36103,Distribution of all-cause deaths (%),41757,6248,0.822,0.068,0.001,0.019,,0.084,0.005,Large fringe metro,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/09/2022,01/01/2020,11/05/2022,NY,Suffolk County,2,36,103,36103,Distribution of COVID-19 deaths (%),41757,6248,0.723,0.091,,0.024,,0.154,0.006,Large fringe metro,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/09/2022,01/01/2020,11/05/2022,NY,Suffolk County,2,36,103,36103,Distribution of population (%),41757,6248,0.66,0.076,0.002,0.042,0,0.205,0.014,Large fringe metro,
11/09/2022,01/01/2020,11/05/2022,NY,Sullivan County,6,36,105,36105,Distribution of all-cause deaths (%),1821,144,0.814,0.088,,0.009,,0.082,0.007,Noncore,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/09/2022,01/01/2020,11/05/2022,NY,Sullivan County,6,36,105,36105,Distribution of COVID-19 deaths (%),1821,144,0.708,0.125,,,,0.132,,Noncore,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/09/2022,01/01/2020,11/05/2022,NY,Sullivan County,6,36,105,36105,Distribution of population (%),1821,144,0.702,0.083,0.003,0.019,0,0.171,0.022,Noncore,
11/09/2022,01/01/2020,11/05/2022,NY,Tompkins County,4,36,109,36109,Distribution of all-cause deaths (%),2089,137,0.931,0.036,,0.017,,0.011,,Small metro,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/09/2022,01/01/2020,11/05/2022,NY,Tompkins County,4,36,109,36109,Distribution of COVID-19 deaths (%),2089,137,0.942,,,,,,,Small metro,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
